MD_PAID;1;2;3;4;5;6;7;8
1997.01.01;4426764.786;992329.57;88951.97806;13240.37186;38621.50882;26720.37812;36818.03808;10750.13221
1998.01.01;4388958.408;984169.3307;60161.73914;35004.17713;75767.78208;23890.01609;572.0108837;
1999.01.01;5280130.25;1239396.19;76122.45858;110189.3384;112894.8254;11750.76577;;
2000.01.01;5445384.037;1164233.654;171582.8512;16426.83287;6451.273874;;;
2001.01.01;5612137.899;1837950.37;155862.9331;127146.4729;;;;
2002.01.01;6593299.049;1592418.03;74189.35591;;;;;
2003.01.01;6603090.84;1659747.752;;;;;;
2004.01.01;7194586.604;;;;;;;
